var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
aal,Accumbens,left,reward,,basal ganglia,accumbens,accumbens,
aalh,Accumbens,left,reward,,basal ganglia,accumbens,accumbens,
aar,Accumbens,right,reward,,basal ganglia,accumbens,accumbens,
aarh,Accumbens,right,reward,,basal ganglia,accumbens,accumbens,
ablh,Accumbens,left,reward,,basal ganglia,accumbens,accumbens,
abrh,Accumbens,right,reward,,basal ganglia,accumbens,accumbens,
amygdalalh,Amygdala,left,emotion,,limbic,amygdala,amygdala,
aglh,Amygdala,left,emotion,,limbic,amygdala,amygdala,
agrh,Amygdala,right,emotion,,limbic,amygdala,amygdala,
amygdalarh,Amygdala,right,emotion,,limbic,amygdala,amygdala,
atrlh,Anterior Thalamic Radiation,left,executive function,,,anterior thalamic radiation,anterior thalamic radiation,Anterior thalamic radiation L
atrrh,Anterior Thalamic Radiation,right,executive function,,,anterior thalamic radiation,anterior thalamic radiation,Anterior thalamic radiation R
ad,Auditory Network,NA,sensory,auditory,sensory/motor,auditory network,auditory network,
au,Auditory Network,NA,sensory,auditory,sensory/motor,auditory network,auditory network,
ad_ngd_ad,Auditory Network- Within,NA,sensory,auditory,sensory/motor,auditory network- within,auditory network- within,
banksstslh,Banks of Superior Temporal Sulcus,left,visual processing,social,social,banks of superior temporal sulcus,bankssts,
banksstsrh,Banks of Superior Temporal Sulcus,right,visual processing,social,social,banks of superior temporal sulcus,bankssts,
bstslh,Banks of Superior Temporal Sulcus,left,visual processing,social,social,banks of superior temporal sulcus,bankssts,
bstsrh,Banks of Superior Temporal Sulcus,right,visual processing,social,social,banks of superior temporal sulcus,bankssts,
brainstem,Brainstem,NA,homeostasis,,,brainstem,brain stem,
bs,Brainstem,NA,homeostasis,,,brainstem,brain stem,
bstem,Brainstem,NA,homeostasis,,,brainstem,brain stem,
caudatelh,Caudate,left,reward,cognition,basal ganglia,caudate,caudate,
caudaterh,Caudate,right,reward,cognition,basal ganglia,caudate,caudate,
cdelh,Caudate,left,reward,cognition,basal ganglia,caudate,caudate,
cderh,Caudate,right,reward,cognition,basal ganglia,caudate,caudate,
cdlh,Caudate,left,reward,cognition,basal ganglia,caudate,caudate,
