,modality,abcd_structure,abcd_description,atlas_description,atlas,atlas_value,atlas_fname
smri_area_cdk_banksstslh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-Banks of Superior Temporal Sulcus,ctx-lh-bankssts,Desikan,1001,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_cdacatelh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate,Desikan,1002,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_cdmdfrlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal,Desikan,1003,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_cuneuslh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-cuneus,ctx-lh-cuneus,Desikan,1005,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ehinallh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-entorhinal,ctx-lh-entorhinal,Desikan,1006,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_fusiformlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-fusiform,ctx-lh-fusiform,Desikan,1007,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ifpllh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-inferiorparietal,ctx-lh-inferiorparietal,Desikan,1008,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_iftmlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-inferiortemporal,ctx-lh-inferiortemporal,Desikan,1009,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ihcatelh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-isthmuscingulate,ctx-lh-isthmuscingulate,Desikan,1010,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_locclh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-lateraloccipital,ctx-lh-lateraloccipital,Desikan,1011,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_lobfrlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,Desikan,1012,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_linguallh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-lingual,ctx-lh-lingual,Desikan,1013,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_mobfrlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-medialorbitofrontal,ctx-lh-medialorbitofrontal,Desikan,1014,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_mdtmlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-middletemporal,ctx-lh-middletemporal,Desikan,1015,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
